County,R,D,State,Year
Pennington,0.644,0.33,MN,2024
Pine,0.667,0.316,MN,2024
Pipestone,0.731,0.251,MN,2024
Polk,0.659,0.322,MN,2024
Pope,0.648,0.332,MN,2024
Ramsey,0.271,0.702,MN,2024
Red Lake,0.673,0.303,MN,2024
Redwood,0.708,0.276,MN,2024
Renville,0.696,0.283,MN,2024
Rice,0.502,0.476,MN,2024
Rock,0.687,0.295,MN,2024
Roseau,0.739,0.246,MN,2024
Scott,0.531,0.446,MN,2024
Sherburne,0.664,0.316,MN,2024
Sibley,0.704,0.275,MN,2024
St. Louis,0.421,0.557,MN,2024
Stearns,0.623,0.356,MN,2024
Steele,0.61,0.367,MN,2024
Stevens,0.625,0.356,MN,2024
Swift,0.661,0.32,MN,2024
Todd,0.758,0.224,MN,2024
Traverse,0.646,0.331,MN,2024
Wabasha,0.631,0.349,MN,2024
Wadena,0.749,0.236,MN,2024
Waseca,0.652,0.328,MN,2024
Washington,0.444,0.533,MN,2024
Watonwan,0.626,0.349,MN,2024
Wilkin,0.683,0.294,MN,2024
Winona,0.514,0.465,MN,2024
Wright,0.635,0.343,MN,2024
Yellow Medicine,0.691,0.286,MN,2024
